contract,method,run_index,instance_same_all_fields,instance_compare_line,raw_result_line
compute,normalCal,48,true,2026-06-15 17:32:32.461	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:2ac6804e44a448da86e486701995bac4 contract: method:normalCal instanceId:26d7123b8c25494899e8c1dc51270ba7 same_all_fields:true,"2026-06-15 17:32:32.461	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 48 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,49,true,2026-06-15 17:32:32.479	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:86386b99befa4be09f503fae67abd440 contract: method:normalCal instanceId:64f34aa62b8f406f9a78d7c4c4f6a156 same_all_fields:true,"2026-06-15 17:32:32.479	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 49 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,50,true,2026-06-15 17:32:32.497	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:60f673d4444e4f6fbe8d28e13f3f8e87 contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:32.497	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 50 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,51,true,2026-06-15 17:32:32.514	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:6545c8031512471882a5bb2036f646e4 contract: method:normalCal instanceId:23601fb99c454d80a165e5932944f9fa same_all_fields:true,"2026-06-15 17:32:32.514	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 51 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,52,true,2026-06-15 17:32:32.532	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:0007368150ba49a4a00f6e992dbbeaf5 contract: method:normalCal instanceId:0845589a38754de5b41539f532d6cb82 same_all_fields:true,"2026-06-15 17:32:32.532	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 52 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,53,true,2026-06-15 17:32:32.550	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:d7e49c0d55de468d9ce06292c6364c8d contract: method:normalCal instanceId:26d7123b8c25494899e8c1dc51270ba7 same_all_fields:true,"2026-06-15 17:32:32.550	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 53 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,54,true,2026-06-15 17:32:32.567	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:12ce8499d4e44fea8ebca43fd63f2ca4 contract: method:normalCal instanceId:64f34aa62b8f406f9a78d7c4c4f6a156 same_all_fields:true,"2026-06-15 17:32:32.567	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 54 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,55,true,2026-06-15 17:32:32.585	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:580ed5db883642cc8341d2757e3b9a47 contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:32.585	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 55 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,56,true,2026-06-15 17:32:32.607	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:894d54df68a9475da9dc3aa1b981124f contract: method:normalCal instanceId:23601fb99c454d80a165e5932944f9fa same_all_fields:true,"2026-06-15 17:32:32.607	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 56 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,57,true,2026-06-15 17:32:32.625	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:48fdf1165eb5493f890a960b30415163 contract: method:normalCal instanceId:0845589a38754de5b41539f532d6cb82 same_all_fields:true,"2026-06-15 17:32:32.625	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 57 contractResult = result:""success normalCal: 666"" gas_used:100000072"
